Country Name	Education expenditure Percent of GNI 2019	Unemployment with advanced education Percent of total labor force 2019
Albania	3,303908552	14,85999966
Argentina	4,991214389	3,869999886
Armenia	2,290981126	12,56999969
Australia	5,020112534	2,170000076
Austria	5,060658344	3
Barbados	4,36856981	4,170000076
Belarus	4,701528268	2,170000076
Belgium	6,047616857	3,150000095
Belize	6,39	7,019999981
Bolivia	6,08	7,079999924
Botswana	9,48	15,25
Brazil	6,285938829	6,800000191
Brunei Darussalam	3,990143688	6,190000057
Bulgaria	3,981746485	1,909999967
Cabo Verde	5,213716592	7,130000114
Cambodia	2,004175808	0,9800000191
Canada	4,93	4,409999847
Chile	5,277289449	6,760000229
Colombia	3,982117392	11,5
Costa Rica	7,094453829	6,099999905
Cote d'Ivoire	3,186447849	6,650000095
Croatia	3,7473352	5,25
Cyprus	5,437042742	6,150000095
Czechia	3,691702889	0,9900000095
Denmark	7,164920091	4,099999905
Dominican Republic	2,519252247	5,190000057
Ecuador	3,93	5,320000172
El Salvador	3,56574997	6,460000038
Estonia	4,618844821	2,819999933
Finland	5,789139721	3,940000057
France	4,921448872	5,099999905
Georgia	1,76	11,28999996
Germany	4,42548474	1,809999943
Greece	3,1	12,14999962
Guatemala	3,085586041	3,589999914
Guinea	1,903838348	17,52000046
Guyana	2,92	6,150000095
Honduras	6,33	6,579999924
Hong Kong SAR, China	2,838133366	2,630000114
Hungary	4,329724655	1,539999962
Iceland	7,467097265	2,309999943
India	3,08	15,10999966
Indonesia	3,268451547	4,380000114
Iran, Islamic Rep.	3,73701381	16,92000008
Ireland	4,186665098	3,220000029
Israel	5,487839083	2,869999886
Italy	3,942557701	5,699999809
Jamaica	5,224692574	3,339999914
Japan	2,718863682	2,029999971
Jordan	2,613234031	24,61000061
Kenya	4,870505104	12,32999992
Korea, Rep.	4,63873508	3,890000105
Latvia	3,878770088	3,619999886
Lebanon	2,1	14,47000027
Lesotho	6,171596554	12,17000008
Lithuania	3,739077914	2,900000095
Luxembourg	4,438608256	3,640000105
Malaysia	3,936968049	3,859999895
Maldives	3,981277325	2,599999905
Malta	4,661140811	2,559999943
Mauritius	4,77	6,03000021
Mexico	4,526120467	4,400000095
Moldova	4,585800468	2,829999924
Mongolia	4,311519638	6,889999866
Myanmar	1,650969784	0,75
Netherlands	4,577024345	2,269999981
New Zealand	7,37	2,220000029
Nigeria	0,85	17,14999962
North Macedonia	3,268652123	14,25
Norway	6,635240245	2,190000057
Pakistan	2,027349164	10,89999962
Panama	2,8	5,139999866
Peru	3,388268266	3,609999895
Poland	4,447522724	2
Portugal	4,941172342	5,309999943
Qatar	2,442799236	0,349999994
Romania	2,81	1,570000052
Russian Federation	4,413240488	4,429999828
Rwanda	3,072765283	17,71999931
Saudi Arabia	7,1861867	10,34000015
Senegal	4,988725839	17,05999947
Serbia	3,653674751	8,340000153
Seychelles	4,537110628	1,980000019
Slovak Republic	3,795178246	2,5
Slovenia	4,533746696	3
Somalia	0,9911446361	18,95999908
South Africa	5,820015001	13,10999966
Spain	3,992286432	8,609999657
Sri Lanka	1,638857201	7,789999962
St. Lucia	3,310461507	9,319999695
Sweden	7,133391511	3,720000029
Switzerland	4,423532856	3,25
Thailand	3,703359929	1,49000001
Turkiye	3,798198118	13,5
Ukraine	4,911991165	7,059999943
United Kingdom	5,328866288	2,480000019
United States	4,39647506	2,380000114
Uruguay	4,762200145	3,00999999
Vietnam	4,603050118	2,529999971
Zambia	3,563863533	8,319999695
Zimbabwe	1,91	5,610000134